zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000013513938	66796923	Nc1nc(=O)c2c([nH]1)NC[C@H]([C@H](O)[C@@H](O)CO)N2	0	-6.88	-22	0	-2.7278	257.25	8	7	1	1	18	3	[(10, 'R'), (11, 'S'), (13, 'S')]	0	Anodyne	156	CAABRN	CA	hmdbendo
ZINC000013523441	66796167	Nc1nc2c(c(=O)[n-]1)N[C@@H]([C@@H](O)[C@@H](O)CO)CN2	-1	-8.66	-46.03	3	-3.0987	256.242	8	6	1	1	18	3	[(9, 'R'), (10, 'R'), (12, 'S')]	0	Anodyne	154	CAABHM	CA	hmdbendo
ZINC000013523441	66796166	Nc1nc2c(c(=O)[nH]1)N[C@@H]([C@@H](O)[C@@H](O)CO)CN2	-1	-8.66	-46.03	1	-2.7278	257.25	8	7	1	1	18	3	[(9, 'R'), (10, 'R'), (12, 'S')]	0	Anodyne	156	CAABMM	CA	hmdbendo
ZINC000013523441	66796164	Nc1nc(=O)c2c([nH]1)NC[C@H]([C@@H](O)[C@@H](O)CO)N2	0	-7.51	-14.14	0	-2.7278	257.25	8	7	1	1	18	3	[(10, 'R'), (11, 'R'), (13, 'S')]	0	Anodyne	156	CAABRN	CA	hmdbendo
ZINC000000901060	13660217	O=C([O-])[C@@H](O)[C@H](O)CO	-1	-6.48	-49.18	0	-3.5496	135.095	5	3	0	0	9	3	[(3, 'S'), (5, 'R')]	0	Anodyne	100	AAAARM	AA	hmdbendo
ZINC000006920378	26834267	CCCCCCCCCCCCCCCCCCCCCC(=O)[O-]	-1	16.65	-45.94	0	6.55820000000001	339.584	2	0	0	0	24	20	[]	30	Mild	40	EKEARM	EK	hmdbendo
ZINC000001586297	15199279	CCCCCCCCCCC(=O)[O-]	-1	7.96	-46.03	0	2.2671	185.287	2	0	0	0	13	9	[]	30	Mild	40	AHEARM	AH	hmdbendo
ZINC000012494607	42670306	O=C([O-])CCCCCCC(=O)NCC(=O)[O-]	-2	2.59	-98.47	0	-2.057	229.232	5	1	0	0	16	9	[]	0	Anodyne	109	BCABRL	BC	hmdbendo
ZINC000013512214	18503492	Oc1ccccc1O	0	-0.44	-5.78	0	1.0978	110.112	2	2	0	1	8	0	[]	10	Clean	40	ADCARN	AD	hmdbendo
ZINC000004501392	18591413	O=C([O-])/C=C(\CC(=O)[O-])C(=O)[O-]	-3	1.04	-197.82	0	-4.4474	171.084	6	0	0	0	12	4	[]	0	Anodyne	120	ABAARL	AB	hmdbendo
