zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000006577473	31607846	Cn1c(Cn2c(=O)sc3ccccc32)nnc1SCC(=O)Nc1ccc(F)cc1	0	9.49	-17.47	0	3.1097	429.502	8	1	0	4	29	6	[]	0	Anodyne	81	IGAARN	IG	aggregators
ZINC000005058223	77893127	CC[C@@H](C)NC(=O)C[S@@](=O)Cc1nc(-c2cccc(OC)c2)oc1C	0	3.38	-29.49	0	2.82202	364.467	5	1	0	2	25	8	[(2, 'R'), (8, 'R')]	0	Anodyne	81	FFAARN	FF	aggregators
ZINC000005058224	77892681	CC[C@H](C)NC(=O)C[S@@](=O)Cc1nc(-c2cccc(OC)c2)oc1C	0	3.38	-29.47	0	2.82202	364.467	5	1	0	2	25	8	[(2, 'S'), (8, 'R')]	0	Anodyne	81	FFAARN	FF	aggregators
ZINC000005058225	77892782	CC[C@@H](C)NC(=O)C[S@](=O)Cc1nc(-c2cccc(OC)c2)oc1C	0	3.38	-21.83	0	2.82202	364.467	5	1	0	2	25	8	[(2, 'R'), (8, 'S')]	0	Anodyne	81	FFAARN	FF	aggregators
ZINC000005058226	77892908	CC[C@H](C)NC(=O)C[S@](=O)Cc1nc(-c2cccc(OC)c2)oc1C	0	3.38	-21.79	0	2.82202	364.467	5	1	0	2	25	8	[(2, 'S'), (8, 'S')]	0	Anodyne	81	FFAARN	FF	aggregators
ZINC000000291247	65208651	COc1ccc(NC(=O)Nc2cccc(C)n2)cc1	0	5.32	-15.07	0	3.04262	257.293	3	2	0	2	19	3	[]	0	Anodyne	63	CGAARN	CG	aggregators
ZINC000005069739	66134270	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)NCCN(C)C)O2	0	1.84	-11.57	3	0.762419999999999	291.351	4	2	1	1	21	5	[(10, 'S')]	0	Anodyne	70	CCAAHN	CC	aggregators
ZINC000005069739	66134266	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)NCC[NH+](C)C)O2	1	4.32	-45.54	0	-0.654679999999999	292.359	3	3	1	1	21	5	[(10, 'S')]	0	Anodyne	71	CCAARO	CC	aggregators
ZINC000005069743	66134255	Cc1ccc2c(c1)NC(=O)[C@@H](CC(=O)NCCN(C)C)O2	0	1.83	-11.59	3	0.762419999999999	291.351	4	2	1	1	21	5	[(10, 'R')]	0	Anodyne	70	CCAAHN	CC	aggregators
ZINC000005069743	66134253	Cc1ccc2c(c1)NC(=O)[C@@H](CC(=O)NCC[NH+](C)C)O2	1	4.31	-45.51	0	-0.654679999999999	292.359	3	3	1	1	21	5	[(10, 'R')]	0	Anodyne	71	CCAARO	CC	aggregators
