zinc_id	supplier_code	substance.preferred_name	substance.smiles	substance.purchasable	substance.purchasability	substance.rb	substance.reactive	substance.features	calalog
ZINC000006577232	NCGC00085088-01	NA	Cc1noc(C)c1S(=O)(=O)N(CC(=O)N1CCn2c3ccccc3nc21)c1cc(C)cc(C)c1	10	For-Sale	5	0	set(['aggregator'])	aggregators
ZINC000100635853	NCGC00085089-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1ccccn1	30	Agent	4	0	set(['aggregator'])	aggregators
ZINC000100635854	NCGC00085089-01	NA	O=C(NCCN1C(=O)[C@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1ccccn1	30	Agent	4	0	set(['aggregator'])	aggregators
ZINC000103031514	NCGC00085089-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1ccccn1	30	Agent	4	0	NA	aggregators
ZINC000006577830	NCGC00085090-01	NA	Cc1noc(C)c1S(=O)(=O)N(CC(=O)N1CCc2ccccc21)c1cc(C)cc(C)c1	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000100642831	NCGC00085091-01	NA	CCCc1nnc(NC(=O)NCCN2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)s1	50	Premier	6	0	NA	aggregators
ZINC000100642833	NCGC00085091-01	NA	CCCc1nnc(NC(=O)NCCN2C(=O)[C@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)s1	50	Premier	6	0	NA	aggregators
ZINC000101999292	NCGC00085091-01	NA	CCCc1nnc(NC(=O)NCCN2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@H]3C2=O)s1	50	Premier	6	0	set(['aggregator'])	aggregators
ZINC000101875028	NCGC00085093-01	NA	Cc1c(NC(=O)NCCN2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)c(=O)n(-c2ccccc2)n1C	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000101875033	NCGC00085093-01	NA	Cc1c(NC(=O)NCCN2C(=O)[C@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)c(=O)n(-c2ccccc2)n1C	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000225251138	NCGC00085093-01	NA	Cc1c(NC(=O)NCCN2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@H]3C2=O)c(=O)n(-c2ccccc2)n1C	30	Agent	5	0	NA	aggregators
ZINC000020240136	NCGC00085094-01	NA	Cc1noc(C)c1S(=O)(=O)N(CC(=O)N1CCN(Cc2ccccc2)CC1)c1cc(C)cc(C)c1	50	Premier	7	0	set(['aggregator'])	aggregators
ZINC000100289738	NCGC00085095-01	NA	O=C(Nc1nncs1)Nc1ccc(N2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)cc1	50	Premier	3	0	NA	aggregators
ZINC000100289741	NCGC00085095-01	NA	O=C(Nc1nncs1)Nc1ccc(N2C(=O)[C@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)cc1	50	Premier	3	0	NA	aggregators
ZINC000104037847	NCGC00085095-01	NA	O=C(Nc1nncs1)Nc1ccc(N2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@H]3C2=O)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131592	NCGC00085098-01	NA	Cc1cccc([C@@H]2C[C@@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131593	NCGC00085098-01	NA	Cc1cccc([C@H]2C[C@@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131594	NCGC00085098-01	NA	Cc1cccc([C@@H]2C[C@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131596	NCGC00085098-01	NA	Cc1cccc([C@H]2C[C@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131486	NCGC00085100-01	NA	Cc1cccc([C@@H]2C[C@@H](c3ccc(Cl)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131488	NCGC00085100-01	NA	Cc1cccc([C@H]2C[C@@H](c3ccc(Cl)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131490	NCGC00085100-01	NA	Cc1cccc([C@@H]2C[C@H](c3ccc(Cl)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131492	NCGC00085100-01	NA	Cc1cccc([C@H]2C[C@H](c3ccc(Cl)cc3)Nc3nc(N)nn32)c1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131355	NCGC00085104-01	NA	Cc1ccc([C@@H]2C[C@@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131356	NCGC00085104-01	NA	Cc1ccc([C@H]2C[C@@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131357	NCGC00085104-01	NA	Cc1ccc([C@@H]2C[C@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131359	NCGC00085104-01	NA	Cc1ccc([C@H]2C[C@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000004885140	NCGC00085107-01	NA	Cn1c(C(=O)N2CCN(c3ccccc3F)CC2)cc2c1c1ccccc1n(C)c2=O	50	Premier	2	0	set(['aggregator'])	aggregators
ZINC000013131240	NCGC00085108-01	NA	COc1ccc([C@@H]2C[C@@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131242	NCGC00085108-01	NA	COc1ccc([C@H]2C[C@@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131243	NCGC00085108-01	NA	COc1ccc([C@@H]2C[C@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131245	NCGC00085108-01	NA	COc1ccc([C@H]2C[C@H](c3cccc(C)c3)n3nc(N)nc3N2)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000004938613	NCGC00085109-01	NA	COc1ccccc1CNC(=O)c1cc2c(c3ccccc3n(C)c2=O)n1C	50	Premier	4	0	set(['aggregator'])	aggregators
